blog_id,blog_slug,cloudinary_public_id,download_message,excerpt,featured_image,id,image_url,local_file,local_path,location_id,location_slug,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,search_query,slug,status,thumbnail_url,title
11,love-letter-to-hoi-an,danangtrip/blogs/love-letter-to-hoi-an/blog-11__love-letter-to-hoi-an__p01,downloaded:389442,"An appreciation of the beauty, food, and people of the ancient town.",,11,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-11__love-letter-to-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-11__love-letter-to-hoi-an__p01__pexels-30933135.jpg,11,love-letter-to-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,love-letter-to-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,A Love Letter to Hoi An: Why It’s the Most Charming Town in Vietnam
12,best-things-to-do-hoi-an,danangtrip/blogs/best-things-to-do-hoi-an/blog-12__best-things-to-do-hoi-an__p01,downloaded:389442,"A personal perspective on why Hoi An is a must-visit, with recommendations.",,12,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-12__best-things-to-do-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-12__best-things-to-do-hoi-an__p01__pexels-30933135.jpg,12,best-things-to-do-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,best-things-to-do-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,14 Things To Do in Hoi An (From Someone Who Almost Skipped It)
13,hoi-an-lantern-streets,danangtrip/blogs/hoi-an-lantern-streets/blog-13__hoi-an-lantern-streets__p01,downloaded:389442,The best spots to see the lanterns and how to experience the town after dark.,,13,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-13__hoi-an-lantern-streets__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-13__hoi-an-lantern-streets__p01__pexels-30933135.jpg,13,hoi-an-lantern-streets,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-lantern-streets,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Wandering Through the Lantern-Lit Streets of Hoi An Ancient Town
14,48-hours-in-hoi-an,danangtrip/blogs/48-hours-in-hoi-an/blog-14__48-hours-in-hoi-an__p01,downloaded:389442,A 2-day itinerary for those who want to see the best of the ancient town and its surroundings.,,14,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-14__48-hours-in-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-14__48-hours-in-hoi-an__p01__pexels-30933135.jpg,14,48-hours-in-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,48-hours-in-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,How to Spend 48 Hours in Hoi An
15,hoi-an-tailoring-guide,danangtrip/blogs/hoi-an-tailoring-guide/blog-15__hoi-an-tailoring-guide__p01,downloaded:389442,Everything you need to know about getting clothes made in the tailoring capital of the world.,,15,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-15__hoi-an-tailoring-guide__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-15__hoi-an-tailoring-guide__p01__pexels-30933135.jpg,15,hoi-an-tailoring-guide,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-tailoring-guide,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,The Ultimate Guide to Custom Tailoring in Hoi An
16,cycling-hoi-an-countryside,danangtrip/blogs/cycling-hoi-an-countryside/blog-16__cycling-hoi-an-countryside__p01,downloaded:389442,Explore the rice paddies and villages of Hoi An on two wheels.,,16,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-16__cycling-hoi-an-countryside__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-16__cycling-hoi-an-countryside__p01__pexels-30933135.jpg,16,cycling-hoi-an-countryside,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,cycling-hoi-an-countryside,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Beyond the Old Town: Cycling the Countryside of Hoi An
17,hoi-an-food-guide,danangtrip/blogs/hoi-an-food-guide/blog-17__hoi-an-food-guide__p01,downloaded:389442,"From Cao Lau to White Rose Dumplings, discover the unique flavors of Hoi An.",,17,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-17__hoi-an-food-guide__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-17__hoi-an-food-guide__p01__pexels-30933135.jpg,17,hoi-an-food-guide,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-food-guide,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,A Foodie’s Guide to Hoi An: Must-Try Local Dishes
18,best-cafes-hoi-an,danangtrip/blogs/best-cafes-hoi-an/blog-18__best-cafes-hoi-an__p01,downloaded:389442,Where to find the best Vietnamese coffee and a good place to work in the ancient town.,,18,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-18__best-cafes-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-18__best-cafes-hoi-an__p01__pexels-30933135.jpg,18,best-cafes-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,best-cafes-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Best Cafes in Hoi An for Digital Nomads and Coffee Lovers
19,hoi-an-lantern-festival-guide,danangtrip/blogs/hoi-an-lantern-festival-guide/blog-19__hoi-an-lantern-festival-guide__p01,downloaded:389442,A guide to the monthly full moon festival and the nightly lantern displays.,,19,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-19__hoi-an-lantern-festival-guide__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-19__hoi-an-lantern-festival-guide__p01__pexels-30933135.jpg,19,hoi-an-lantern-festival-guide,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-lantern-festival-guide,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Hoi An at Night: The Magical Lantern Festival
20,photography-guide-hoi-an,danangtrip/blogs/photography-guide-hoi-an/blog-20__photography-guide-hoi-an__p01,downloaded:389442,"Tips for capturing the beauty of Hoi An, from the yellow walls to the morning market.",,20,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-20__photography-guide-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-20__photography-guide-hoi-an__p01__pexels-30933135.jpg,20,photography-guide-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,photography-guide-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Why Hoi An is a Photographer’s Paradise
21,hoi-an-beach-guide,danangtrip/blogs/hoi-an-beach-guide/blog-21__hoi-an-beach-guide__p01,downloaded:389442,Compare the beaches near Hoi An and decide where to spend your sun-soaked days.,,21,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-21__hoi-an-beach-guide__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-21__hoi-an-beach-guide__p01__pexels-30933135.jpg,21,hoi-an-beach-guide,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-beach-guide,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Best Beaches in Hoi An: A Guide to An Bang and Cua Dai
22,where-to-stay-hoi-an,danangtrip/blogs/where-to-stay-hoi-an/blog-22__where-to-stay-hoi-an__p01,downloaded:389442,A guide to the best neighborhoods and accommodations for every budget.,,22,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-22__where-to-stay-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-22__where-to-stay-hoi-an__p01__pexels-30933135.jpg,22,where-to-stay-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,where-to-stay-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,The Best Places to Stay in Hoi An: From Homestays to Luxury Resorts
23,lost-in-hoi-an,danangtrip/blogs/lost-in-hoi-an/blog-23__lost-in-hoi-an__p01,downloaded:389442,The joy of wandering aimlessly through the narrow alleys of the ancient town.,,23,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-23__lost-in-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-23__lost-in-hoi-an__p01__pexels-30933135.jpg,23,lost-in-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,lost-in-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Getting Lost in the Yellow Streets of Hoi An
24,hoi-an-craft-workshops,danangtrip/blogs/hoi-an-craft-workshops/blog-24__hoi-an-craft-workshops__p01,downloaded:389442,"Learn how to make lanterns, pottery, and silk products from local masters.",,24,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-24__hoi-an-craft-workshops__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-24__hoi-an-craft-workshops__p01__pexels-30933135.jpg,24,hoi-an-craft-workshops,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,hoi-an-craft-workshops,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,A Guide to Traditional Craft Workshops in Hoi An
25,budget-travel-hoi-an,danangtrip/blogs/budget-travel-hoi-an/blog-25__budget-travel-hoi-an__p01,downloaded:389442,"Tips for saving money on food, accommodation, and activities in the ancient town.",,25,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-25__budget-travel-hoi-an__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-25__budget-travel-hoi-an__p01__pexels-30933135.jpg,25,budget-travel-hoi-an,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,budget-travel-hoi-an,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Hoi An on a Budget: How to Make Your Money Go Further
26,da-nang-rising-star,danangtrip/blogs/da-nang-rising-star/blog-26__da-nang-rising-star__p01,downloaded:372780,A look at the rapid development and modern appeal of Da Nang.,,26,https://images.pexels.com/photos/20563032/pexels-photo-20563032.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-26__da-nang-rising-star__p01__pexels-20563032.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-26__da-nang-rising-star__p01__pexels-20563032.jpg,26,da-nang-rising-star,20563032,1,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,pexels,https://www.pexels.com/photo/view-of-a-city-20563032/,Da Nang: Why This Coastal City is Vietnam’s Rising Star Da Nang Vietnam,da-nang-rising-star,downloaded,https://images.pexels.com/photos/20563032/pexels-photo-20563032.jpeg?auto=compress&cs=tinysrgb&h=350,Da Nang: Why This Coastal City is Vietnam’s Rising Star
27,da-nang-beach-guide,danangtrip/blogs/da-nang-beach-guide/blog-27__da-nang-beach-guide__p01,downloaded:245719,Explore the world-famous beaches of Da Nang and find your perfect spot in the sand.,,27,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-27__da-nang-beach-guide__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-27__da-nang-beach-guide__p01__pexels-26550067.jpg,27,da-nang-beach-guide,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,Da Nang beach Vietnam,da-nang-beach-guide,downloaded,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,"The Best Beaches in Da Nang: My Khe, Non Nuoc, and More"
