tour_slug,tour_name,review_status,approve_for_seed,location_status,location_id_hint,location_slug,location_name,confidence,mapping_method,fix_notes,source_url
dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,Nui Than Tai Hot Spring Park Tour From Da Nang Good Price #1,pending_review,False,missing_location_seed,,nui-than-tai-hot-spring-park,Nui Than Tai Hot Spring Park,low,keyword_context_match,Pending: location seed is not approved yet.,https://dananglocaltours.com/tour/nui-than-tai-hot-spring-park-tour/
dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/
dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,approved,True,existing_seed_location,21,marble-mountains,Marble Mountains,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/
dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,approved,True,existing_seed_location,20,linh-ung-pagoda,Linh Ung Pagoda,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/
danangtourscity-french-village-ba-na-hills-da-nang-tours,French Village Ba Na Hills - Da Nang Tours,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://danangtourscity.com/french-village-ba-na-hills/
hoiandaytrip-am-phu-cave-tour-with-marble-mountain-lady-buddha-hoian-day-trip-company,Am Phu Cave Tour with Marble Mountain & Lady Buddha - HoiAn Day Trip Company,approved,True,existing_seed_location,21,marble-mountains,Marble Mountains,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://hoiandaytrip.com/am-phu-cave-tour/
hoiandaytrip-am-phu-cave-tour-with-marble-mountain-lady-buddha-hoian-day-trip-company,Am Phu Cave Tour with Marble Mountain & Lady Buddha - HoiAn Day Trip Company,approved,True,existing_seed_location,20,linh-ung-pagoda,Linh Ung Pagoda,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://hoiandaytrip.com/am-phu-cave-tour/
hoiandaytrip-ba-na-hills-afternoon-tour-with-golden-hands-bridge-hoian-day-trip-company,Ba Na Hills Afternoon Tour with Golden Hands Bridge - HoiAn Day Trip Company,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://hoiandaytrip.com/ba-na-hills-afternoon-tour/
hoiandaytrip-bana-ba-na-hills-early-morning-tour-to-beat-the-crowds-hoian-day-trip-company,Ba Na Hills Early Morning Tour to Beat the Crowds - HoiAn Day Trip Company,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://hoiandaytrip.com/ba-na-hills-early-morning-tour/
hoiandaytrip-bana-ba-na-hills-night-tour-with-golden-bridge-dinner-cabaret-show-hoian-day-trip-company,"Ba Na Hills Night Tour with Golden Bridge, Dinner & Cabaret Show - HoiAn Day Trip Company",approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://hoiandaytrip.com/ba-na-hills-night-tour/
venus-cham-island-from-danang-my-son-holyland-rice-paper-making-morning-tour-venustravel,From Danang: My Son Holyland & Rice Paper Making Morning Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/my-son-holyland-rice-paper-making-morning-tour/
venus-cham-island-from-danang-my-son-holyland-rice-paper-making-morning-tour-venustravel,From Danang: My Son Holyland & Rice Paper Making Morning Tour,approved,True,existing_seed_location,8,my-son-sanctuary,My Son Sanctuary,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/my-son-holyland-rice-paper-making-morning-tour/
venus-cham-island-hoi-an-city-tour-boat-ride-release-flower-lantern-venustravel,Hoi An City Tour – Boat Ride – Release Flower Lantern,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/hoi-an-boat-ride/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,approved,True,existing_seed_location,21,marble-mountains,Marble Mountains,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,approved,True,existing_seed_location,20,linh-ung-pagoda,Linh Ung Pagoda,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-sunset-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Sunset Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-am-phu-cave-monkey-mountains-sunset-tour/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-sunset-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Sunset Tour,approved,True,existing_seed_location,21,marble-mountains,Marble Mountains,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-am-phu-cave-monkey-mountains-sunset-tour/
venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-sunset-tour-venustravel,Marble Mountains – Monkey Mountain – Am Phu Cave Sunset Tour,approved,True,existing_seed_location,20,linh-ung-pagoda,Linh Ung Pagoda,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/marble-mountains-am-phu-cave-monkey-mountains-sunset-tour/
venusvietnamtravel-3-traditional-handicraft-villages-in-1-tour-venustravel,3 Traditional Handicraft Villages In 1 Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/3-traditional-handicraft-villages-in-1-tour/
venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/
venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/
venusvietnamtravel-cam-thanh-coconut-jungle-muslim-tour-venustravel,Cam Thanh Coconut Jungle Muslim Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-muslim-tour/
venusvietnamtravel-cam-thanh-coconut-jungle-muslim-tour-venustravel,Cam Thanh Coconut Jungle Muslim Tour,approved,True,existing_seed_location,3,bay-mau-coconut-forest,Bay Mau Coconut Forest,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-muslim-tour/
venusvietnamtravel-cam-thanh-cooking-class-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Cooking Class & My Son Holy Land Full-Day Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-cooking-class-my-son-holy-land-full-day-tour/
venusvietnamtravel-cam-thanh-cooking-class-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Cooking Class & My Son Holy Land Full-Day Tour,approved,True,existing_seed_location,3,bay-mau-coconut-forest,Bay Mau Coconut Forest,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-cooking-class-my-son-holy-land-full-day-tour/
venusvietnamtravel-cam-thanh-cooking-class-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Cooking Class & My Son Holy Land Full-Day Tour,approved,True,existing_seed_location,8,my-son-sanctuary,My Son Sanctuary,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-cooking-class-my-son-holy-land-full-day-tour/
venusvietnamtravel-cam-thanh-eco-tour-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Eco Tour - My Son Holy Land Full-day Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-my-son-sanctuary-full-day-tour/
venusvietnamtravel-cam-thanh-eco-tour-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Eco Tour - My Son Holy Land Full-day Tour,approved,True,existing_seed_location,3,bay-mau-coconut-forest,Bay Mau Coconut Forest,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-my-son-sanctuary-full-day-tour/
venusvietnamtravel-cam-thanh-eco-tour-my-son-holy-land-full-day-tour-venustravel,Cam Thanh Eco Tour - My Son Holy Land Full-day Tour,approved,True,existing_seed_location,8,my-son-sanctuary,My Son Sanctuary,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-my-son-sanctuary-full-day-tour/
venusvietnamtravel-cham-island-sightseeing-snorkeling-tour-venustravel,Cham Island Sightseeing & Snorkeling Tour,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cham-island-sightseeing-and-snorkeling-tour/
venusvietnamtravel-cham-island-sightseeing-snorkeling-tour-venustravel,Cham Island Sightseeing & Snorkeling Tour,approved,True,existing_seed_location,13,cu-lao-cham,Cham Island (Cu Lao Cham),medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://venusvietnamtravel.com/cham-island-sightseeing-and-snorkeling-tour/
vietnamadventure-danang-the-best-quality-daily-group-tour-package-in-vietnam,The best quality Daily Group Tour package in Vietnam,rejected,False,unmatched,,,,low,no_keyword_match,Rejected: parent tour is not approved.,https://vietnamadventuretour.com.vn/daily-group-tour/
vietnamadventure-danang-vietnam-luxury-tour-experience-your-trip-with-5-star-class,Vietnam Luxury Tour - Experience your trip with 5-star class,rejected,False,unmatched,,,,low,no_keyword_match,Rejected: parent tour is not approved.,https://vietnamadventuretour.com.vn/luxury-tour/
vmtravel-da-nang-shore-excursions-from-tien-sa-port-deluxe-tours,Da Nang Shore Excursions From Tien Sa Port - Deluxe Tours,approved,True,missing_location_seed,,tien-sa-port,Tien Sa Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/da-nang-shore-excursions-from-tien-sa-port/
vmtravel-hue-shore-excursions-from-chan-may-port-book-1-day-tour,Hue Shore Excursions From Chan May Port - Book 1 Day Tour,approved,True,missing_location_seed,,hue-imperial-city,Hue Imperial City,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/hue-shore-excursions-from-chan-may-port/
vmtravel-hue-shore-excursions-from-chan-may-port-book-1-day-tour,Hue Shore Excursions From Chan May Port - Book 1 Day Tour,approved,True,missing_location_seed,,chan-may-port,Chan May Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/hue-shore-excursions-from-chan-may-port/
vmtravel-danang-shore-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/
vmtravel-danang-shore-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,approved,True,missing_location_seed,,tien-sa-port,Tien Sa Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/
vmtravel-danang-shore-da-nang-city-tour-from-tien-sa-port-explore-and-shopping,Da Nang City Tour From Tien Sa Port - Explore and Shopping,approved,True,missing_location_seed,,tien-sa-port,Tien Sa Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/da-nang-city-tour-from-tien-sa-port/
vmtravel-danang-shore-hoi-an-day-tour-from-tien-sa-port-hoi-an-shore-excursions,Hoi An Day Tour from Tien Sa Port - Hoi An Shore Excursions,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://vmtravel.com/tours/hoi-an-day-tour-from-tien-sa-port/
vmtravel-danang-shore-hoi-an-day-tour-from-tien-sa-port-hoi-an-shore-excursions,Hoi An Day Tour from Tien Sa Port - Hoi An Shore Excursions,approved,True,missing_location_seed,,tien-sa-port,Tien Sa Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/hoi-an-day-tour-from-tien-sa-port/
vmtravel-danang-shore-my-son-sanctuary-tour-from-tien-sa-port-explore-now,My Son Sanctuary Tour From Tien Sa Port - Explore Now,approved,True,existing_seed_location,8,my-son-sanctuary,My Son Sanctuary,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://vmtravel.com/tours/my-son-sanctuary-tour-from-tien-sa-port/
vmtravel-danang-shore-my-son-sanctuary-tour-from-tien-sa-port-explore-now,My Son Sanctuary Tour From Tien Sa Port - Explore Now,approved,True,missing_location_seed,,tien-sa-port,Tien Sa Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/my-son-sanctuary-tour-from-tien-sa-port/
vmtravel-hue-shore-bana-hills-day-trip-from-chan-may-port-best-shore-excursion,Bana Hills Day Trip from Chan May Port: Best Shore Excursion,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://vmtravel.com/tours/bana-hills-day-trip-from-chan-may-port/
vmtravel-hue-shore-bana-hills-day-trip-from-chan-may-port-best-shore-excursion,Bana Hills Day Trip from Chan May Port: Best Shore Excursion,approved,True,missing_location_seed,,hue-imperial-city,Hue Imperial City,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/bana-hills-day-trip-from-chan-may-port/
vmtravel-hue-shore-bana-hills-day-trip-from-chan-may-port-best-shore-excursion,Bana Hills Day Trip from Chan May Port: Best Shore Excursion,approved,True,missing_location_seed,,chan-may-port,Chan May Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/bana-hills-day-trip-from-chan-may-port/
vmtravel-hue-shore-hue-imperial-tour-from-chan-may-port-best-shore-excursions,Hue Imperial Tour from Chan May Port: Best Shore Excursions,approved,True,missing_location_seed,,hue-imperial-city,Hue Imperial City,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/hue-imperial-tour-from-chan-may-port/
vmtravel-hue-shore-hue-imperial-tour-from-chan-may-port-best-shore-excursions,Hue Imperial Tour from Chan May Port: Best Shore Excursions,approved,True,missing_location_seed,,chan-may-port,Chan May Port,low,keyword_context_match,Approved after creating missing location seed.,https://vmtravel.com/tours/hue-imperial-tour-from-chan-may-port/
