address,asset_id,bytes,category_name,category_slug,cloudinary_public_id,district,download_message,format,height,id,image_url,latitude,local_file,local_path,location_id,location_slug,longitude,name,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,public_id,search_query,search_status,secure_url,slug,status,thumbnail,thumbnail_url,upload_status,version,width
"Hoa Hai, Da Nang",55110ba604120dddaa4cca4c51fa5e7c,245719,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/melia-danang-resort/loc-62__melia-danang-resort__p01,Ngũ Hành Sơn,existing:245719,jpg,1271,62,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.00800000,loc-62__melia-danang-resort__active-missing-thumbnail__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-62__melia-danang-resort__active-missing-thumbnail__p01__pexels-26550067.jpg,62,melia-danang-resort,108.26200000,Melia Danang Resort,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,danangtrip/locations/melia-danang-resort/loc-62__melia-danang-resort__p01,Melia Danang Resort Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563368/danangtrip/locations/melia-danang-resort/loc-62__melia-danang-resort__p01.jpg,melia-danang-resort,already_downloaded,,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563368,1880
"Duy Xuyen, Quang Nam",13c5e6ae13aaba9de55c0d765f45da69,357075,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/new-world-hoiana/loc-63__new-world-hoiana__p01,Ngũ Hành Sơn,existing:357075,jpg,1253,63,https://images.pexels.com/photos/19940389/pexels-photo-19940389.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.82000000,loc-63__new-world-hoiana__active-missing-thumbnail__p01__pexels-19940389.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-63__new-world-hoiana__active-missing-thumbnail__p01__pexels-19940389.jpg,63,new-world-hoiana,108.38000000,New World Hoiana,19940389,1,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,pexels,https://www.pexels.com/photo/da-nang-administrative-center-in-vietnam-19940389/,danangtrip/locations/new-world-hoiana/loc-63__new-world-hoiana__p01,New World Hoiana Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563370/danangtrip/locations/new-world-hoiana/loc-63__new-world-hoiana__p01.jpg,new-world-hoiana,already_downloaded,,https://images.pexels.com/photos/19940389/pexels-photo-19940389.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563370,1880
"Vo Nguyen Giap, Da Nang",b918a12d2103dd6c6d608e90527fb3f1,154634,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/muong-thanh-luxury/loc-64__muong-thanh-luxury__p01,Sơn Trà,existing:154634,jpg,1300,64,https://images.pexels.com/photos/13739297/pexels-photo-13739297.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06000000,loc-64__muong-thanh-luxury__active-missing-thumbnail__p01__pexels-13739297.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-64__muong-thanh-luxury__active-missing-thumbnail__p01__pexels-13739297.jpg,64,muong-thanh-luxury,108.24500000,Muong Thanh Luxury,13739297,1,Xuân Thống Trần,https://www.pexels.com/@thongtran95,pexels,https://www.pexels.com/photo/boats-on-a-body-of-water-near-mountains-at-sunset-13739297/,danangtrip/locations/muong-thanh-luxury/loc-64__muong-thanh-luxury__p01,Muong Thanh Luxury Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563372/danangtrip/locations/muong-thanh-luxury/loc-64__muong-thanh-luxury__p01.jpg,muong-thanh-luxury,already_downloaded,,https://images.pexels.com/photos/13739297/pexels-photo-13739297.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563372,1733
"238 Vo Nguyen Giap, Da Nang",b4e60ae466881aad98711f65a76ab15c,322828,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/monarque-hotel/loc-65__monarque-hotel__p01,Sơn Trà,existing:322828,jpg,1240,65,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06500000,loc-65__monarque-hotel__active-missing-thumbnail__p01__pexels-1207515.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-65__monarque-hotel__active-missing-thumbnail__p01__pexels-1207515.jpg,65,monarque-hotel,108.24600000,Monarque Hotel,1207515,1,Min An,https://www.pexels.com/@minan1398,pexels,https://www.pexels.com/photo/concrete-structures-next-to-each-other-1207515/,danangtrip/locations/monarque-hotel/loc-65__monarque-hotel__p01,Monarque Hotel Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563375/danangtrip/locations/monarque-hotel/loc-65__monarque-hotel__p01.jpg,monarque-hotel,already_downloaded,,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563375,1880
"292 Vo Nguyen Giap, Da Nang",d8e9870768191e1a22501be02c471366,322828,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/tms-hotel-da-nang/loc-66__tms-hotel-da-nang__p01,Sơn Trà,existing:322828,jpg,1240,66,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.05800000,loc-66__tms-hotel-da-nang__active-missing-thumbnail__p01__pexels-1207515.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-66__tms-hotel-da-nang__active-missing-thumbnail__p01__pexels-1207515.jpg,66,tms-hotel-da-nang,108.24650000,TMS Hotel Da Nang,1207515,1,Min An,https://www.pexels.com/@minan1398,pexels,https://www.pexels.com/photo/concrete-structures-next-to-each-other-1207515/,danangtrip/locations/tms-hotel-da-nang/loc-66__tms-hotel-da-nang__p01,TMS Hotel Da Nang Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563378/danangtrip/locations/tms-hotel-da-nang/loc-66__tms-hotel-da-nang__p01.jpg,tms-hotel-da-nang,already_downloaded,,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563378,1880
"278 Vo Nguyen Giap, Da Nang",31f5db3bff25d9707de3168b0ed37cb2,322828,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/haian-beach-hotel/loc-67__haian-beach-hotel__p01,Sơn Trà,existing:322828,jpg,1240,67,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06000000,loc-67__haian-beach-hotel__active-missing-thumbnail__p01__pexels-1207515.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-67__haian-beach-hotel__active-missing-thumbnail__p01__pexels-1207515.jpg,67,haian-beach-hotel,108.24700000,Haian Beach Hotel,1207515,1,Min An,https://www.pexels.com/@minan1398,pexels,https://www.pexels.com/photo/concrete-structures-next-to-each-other-1207515/,danangtrip/locations/haian-beach-hotel/loc-67__haian-beach-hotel__p01,Haian Beach Hotel Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563380/danangtrip/locations/haian-beach-hotel/loc-67__haian-beach-hotel__p01.jpg,haian-beach-hotel,already_downloaded,,https://images.pexels.com/photos/1207515/pexels-photo-1207515.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563380,1880
"Hoa Cuong Bac, Da Nang",f8f6bdd2d56bcb94a6a101271a429783,561969,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/the-blossom-resort/loc-68__the-blossom-resort__p01,Hải Châu,existing:561969,jpg,1254,68,https://images.pexels.com/photos/13114898/pexels-photo-13114898.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.04000000,loc-68__the-blossom-resort__active-missing-thumbnail__p01__pexels-13114898.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-68__the-blossom-resort__active-missing-thumbnail__p01__pexels-13114898.jpg,68,the-blossom-resort,108.23000000,The Blossom Resort,13114898,1,Trần Long,https://www.pexels.com/@tr-n-long-3093985,pexels,https://www.pexels.com/photo/a-couple-standing-on-the-beach-with-coconut-tree-13114898/,danangtrip/locations/the-blossom-resort/loc-68__the-blossom-resort__p01,The Blossom Resort Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563383/danangtrip/locations/the-blossom-resort/loc-68__the-blossom-resort__p01.jpg,the-blossom-resort,already_downloaded,,https://images.pexels.com/photos/13114898/pexels-photo-13114898.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563383,1880
"288 Vo Nguyen Giap, Da Nang",780cbe5c6b8ac65fa0f033d7d09889db,378425,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/balcona-hotel/loc-69__balcona-hotel__p01,Sơn Trà,existing:378425,jpg,1300,69,https://images.pexels.com/photos/37723173/pexels-photo-37723173.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.05900000,loc-69__balcona-hotel__active-missing-thumbnail__p01__pexels-37723173.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-69__balcona-hotel__active-missing-thumbnail__p01__pexels-37723173.jpg,69,balcona-hotel,108.24750000,Balcona Hotel,37723173,1,Valeria Drozdova,https://www.pexels.com/@valeria-drozdova-2148646707,pexels,https://www.pexels.com/photo/contemporary-urban-street-with-palm-trees-and-skyscrapers-37723173/,danangtrip/locations/balcona-hotel/loc-69__balcona-hotel__p01,Balcona Hotel Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563386/danangtrip/locations/balcona-hotel/loc-69__balcona-hotel__p01.jpg,balcona-hotel,already_downloaded,,https://images.pexels.com/photos/37723173/pexels-photo-37723173.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563386,1733
"300 Vo Nguyen Giap, Da Nang",4c9945c596218acfa7945ccd2c7a25a0,455440,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/holiday-beach-hotel/loc-70__holiday-beach-hotel__p01,Sơn Trà,existing:455440,jpg,1056,70,https://images.pexels.com/photos/32824424/pexels-photo-32824424.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.05500000,loc-70__holiday-beach-hotel__active-missing-thumbnail__p01__pexels-32824424.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-70__holiday-beach-hotel__active-missing-thumbnail__p01__pexels-32824424.jpg,70,holiday-beach-hotel,108.24800000,Holiday Beach Hotel,32824424,1,Hiếu Lê,https://www.pexels.com/@hi-u-le-921253873,pexels,https://www.pexels.com/photo/aerial-view-of-coastal-resort-and-beachfront-32824424/,danangtrip/locations/holiday-beach-hotel/loc-70__holiday-beach-hotel__p01,Holiday Beach Hotel Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563389/danangtrip/locations/holiday-beach-hotel/loc-70__holiday-beach-hotel__p01.jpg,holiday-beach-hotel,already_downloaded,,https://images.pexels.com/photos/32824424/pexels-photo-32824424.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563389,1880
"Son Tra Peninsula, Da Nang",ce0f2c5327600d8b348096d74eb91f89,445129,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/intercontinental-resort/loc-71__intercontinental-resort__p01,Sơn Trà,existing:445129,jpg,1254,71,https://images.pexels.com/photos/2476645/pexels-photo-2476645.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.12000000,loc-71__intercontinental-resort__active-missing-thumbnail__p01__pexels-2476645.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-71__intercontinental-resort__active-missing-thumbnail__p01__pexels-2476645.jpg,71,intercontinental-resort,108.31000000,InterContinental Resort,2476645,1,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,pexels,https://www.pexels.com/photo/aerial-photography-of-villas-near-seashore-2476645/,danangtrip/locations/intercontinental-resort/loc-71__intercontinental-resort__p01,InterContinental Resort Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563392/danangtrip/locations/intercontinental-resort/loc-71__intercontinental-resort__p01.jpg,intercontinental-resort,already_downloaded,,https://images.pexels.com/photos/2476645/pexels-photo-2476645.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563392,1880
"35 Truong Sa, Da Nang",5906ef26eefe241ba1cefac68349b0ac,520461,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/sheraton-grand-resort/loc-72__sheraton-grand-resort__p01,Ngũ Hành Sơn,existing:520461,jpg,1253,72,https://images.pexels.com/photos/6875478/pexels-photo-6875478.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.00200000,loc-72__sheraton-grand-resort__active-missing-thumbnail__p01__pexels-6875478.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-72__sheraton-grand-resort__active-missing-thumbnail__p01__pexels-6875478.jpg,72,sheraton-grand-resort,108.27000000,Sheraton Grand Resort,6875478,1,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,pexels,https://www.pexels.com/photo/aerial-view-of-city-buildings-near-the-ocean-6875478/,danangtrip/locations/sheraton-grand-resort/loc-72__sheraton-grand-resort__p01,Sheraton Grand Resort Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563395/danangtrip/locations/sheraton-grand-resort/loc-72__sheraton-grand-resort__p01.jpg,sheraton-grand-resort,already_downloaded,,https://images.pexels.com/photos/6875478/pexels-photo-6875478.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563395,1880
