address,asset_id,bytes,category_name,category_slug,cloudinary_public_id,district,download_message,format,height,id,image_url,latitude,local_file,local_path,location_id,location_slug,longitude,name,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,public_id,search_query,search_status,secure_url,slug,status,thumbnail,thumbnail_url,upload_error,upload_status,version,width
"Hai Ba Trung, Hoi An",869958ca1d5f3126c0e798763fcb15cc,245719,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/an-bang-beach/loc-12__an-bang-beach__p01,Ngũ Hành Sơn,existing:245719,jpg,1271,12,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.91250000,loc-12__an-bang-beach__active-missing-thumbnail__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-12__an-bang-beach__active-missing-thumbnail__p01__pexels-26550067.jpg,12,an-bang-beach,108.34170000,An Bang Beach,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,danangtrip/locations/an-bang-beach/loc-12__an-bang-beach__p01,An Bang Beach Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563222/danangtrip/locations/an-bang-beach/loc-12__an-bang-beach__p01.jpg,an-bang-beach,already_downloaded,,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563222,1880
"Tan Hiep, Hoi An",067c8a8e077b749f9630945715d248f1,387663,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/cu-lao-cham/loc-13__cu-lao-cham__p01,Ngũ Hành Sơn,existing:387663,jpg,1254,13,https://images.pexels.com/photos/6136106/pexels-photo-6136106.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.91670000,loc-13__cu-lao-cham__active-missing-thumbnail__p01__pexels-6136106.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-13__cu-lao-cham__active-missing-thumbnail__p01__pexels-6136106.jpg,13,cu-lao-cham,108.50000000,Cham Island (Cu Lao Cham),6136106,1,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,pexels,https://www.pexels.com/photo/green-forest-near-calm-sea-6136106/,danangtrip/locations/cu-lao-cham/loc-13__cu-lao-cham__p01,Cham Island (Cu Lao Cham) Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563225/danangtrip/locations/cu-lao-cham/loc-13__cu-lao-cham__p01.jpg,cu-lao-cham,already_downloaded,,https://images.pexels.com/photos/6136106/pexels-photo-6136106.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563225,1880
"Nguyen Van Linh, Da Nang",56da324f74f1065acb02aabb76415347,246906,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/dragon-bridge/loc-14__dragon-bridge__p01,Hải Châu,existing:246906,jpg,1253,14,https://images.pexels.com/photos/15467064/pexels-photo-15467064.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06110000,loc-14__dragon-bridge__active-missing-thumbnail__p01__pexels-15467064.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-14__dragon-bridge__active-missing-thumbnail__p01__pexels-15467064.jpg,14,dragon-bridge,108.22750000,Dragon Bridge,15467064,1,Xuân Thống Trần,https://www.pexels.com/@thongtran95,pexels,https://www.pexels.com/photo/people-walking-and-on-scooters-on-bridge-15467064/,danangtrip/locations/dragon-bridge/loc-14__dragon-bridge__p01,Dragon Bridge Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563227/danangtrip/locations/dragon-bridge/loc-14__dragon-bridge__p01.jpg,dragon-bridge,already_downloaded,,https://images.pexels.com/photos/15467064/pexels-photo-15467064.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563227,1880
"Le Duan, Da Nang",9bbaea3bfb13400e9b54af1c68fa83cc,295016,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/han-river-bridge/loc-15__han-river-bridge__p01,Hải Châu,existing:295016,jpg,1268,15,https://images.pexels.com/photos/26742032/pexels-photo-26742032.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.07190000,loc-15__han-river-bridge__active-missing-thumbnail__p01__pexels-26742032.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-15__han-river-bridge__active-missing-thumbnail__p01__pexels-26742032.jpg,15,han-river-bridge,108.22390000,Han River Bridge,26742032,1,kittbui,https://www.pexels.com/@kittbui-2131870,pexels,https://www.pexels.com/photo/woman-sitting-with-thuan-phuoc-bridge-behind-in-da-nang-in-vietnam-26742032/,danangtrip/locations/han-river-bridge/loc-15__han-river-bridge__p01,Han River Bridge Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563230/danangtrip/locations/han-river-bridge/loc-15__han-river-bridge__p01.jpg,han-river-bridge,already_downloaded,,https://images.pexels.com/photos/26742032/pexels-photo-26742032.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563230,1880
"Duy Tan, Da Nang",be7e4c1f81ac8d40c814b1c53b14e99f,237190,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/tran-thi-ly-bridge/loc-16__tran-thi-ly-bridge__p01,Hải Châu,existing:237190,jpg,1253,16,https://images.pexels.com/photos/20625803/pexels-photo-20625803.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.05140000,loc-16__tran-thi-ly-bridge__active-missing-thumbnail__p01__pexels-20625803.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-16__tran-thi-ly-bridge__active-missing-thumbnail__p01__pexels-20625803.jpg,16,tran-thi-ly-bridge,108.23190000,Tran Thi Ly Bridge,20625803,1,LÊ QUỐC VIỆT,https://www.pexels.com/@le-qu-c-vi-t-801512263,pexels,https://www.pexels.com/photo/cau-tran-th-ly-bridge-in-da-nang-20625803/,danangtrip/locations/tran-thi-ly-bridge/loc-16__tran-thi-ly-bridge__p01,Tran Thi Ly Bridge Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563232/danangtrip/locations/tran-thi-ly-bridge/loc-16__tran-thi-ly-bridge__p01.jpg,tran-thi-ly-bridge,already_downloaded,,https://images.pexels.com/photos/20625803/pexels-photo-20625803.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563232,1880
"Thuan Phuoc, Da Nang",6e8754caf9e9dd22705e6967de4e8a79,295016,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/thuan-phuoc-bridge/loc-17__thuan-phuoc-bridge__p01,Hải Châu,existing:295016,jpg,1268,17,https://images.pexels.com/photos/26742032/pexels-photo-26742032.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.09500000,loc-17__thuan-phuoc-bridge__active-missing-thumbnail__p01__pexels-26742032.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-17__thuan-phuoc-bridge__active-missing-thumbnail__p01__pexels-26742032.jpg,17,thuan-phuoc-bridge,108.22220000,Thuan Phuoc Bridge,26742032,1,kittbui,https://www.pexels.com/@kittbui-2131870,pexels,https://www.pexels.com/photo/woman-sitting-with-thuan-phuoc-bridge-behind-in-da-nang-in-vietnam-26742032/,danangtrip/locations/thuan-phuoc-bridge/loc-17__thuan-phuoc-bridge__p01,Thuan Phuoc Bridge Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563235/danangtrip/locations/thuan-phuoc-bridge/loc-17__thuan-phuoc-bridge__p01.jpg,thuan-phuoc-bridge,already_downloaded,,https://images.pexels.com/photos/26742032/pexels-photo-26742032.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563235,1880
"Tran Hung Dao, Da Nang",7fd3b58e8dd61144acba650aca4eebb4,198977,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/nguyen-van-troi-bridge/loc-18__nguyen-van-troi-bridge__p01,Sơn Trà,existing:198977,jpg,1278,18,https://images.pexels.com/photos/34373622/pexels-photo-34373622.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.05200000,loc-18__nguyen-van-troi-bridge__active-missing-thumbnail__p01__pexels-34373622.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-18__nguyen-van-troi-bridge__active-missing-thumbnail__p01__pexels-34373622.jpg,18,nguyen-van-troi-bridge,108.22800000,Nguyen Van Troi Bridge,34373622,1,Giang Nguyễn,https://www.pexels.com/@giang-nguy-n-2153075131,pexels,https://www.pexels.com/photo/serene-da-n-ng-bridge-at-sunset-reflected-in-water-34373622/,danangtrip/locations/nguyen-van-troi-bridge/loc-18__nguyen-van-troi-bridge__p01,Nguyen Van Troi Bridge Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563237/danangtrip/locations/nguyen-van-troi-bridge/loc-18__nguyen-van-troi-bridge__p01.jpg,nguyen-van-troi-bridge,already_downloaded,,https://images.pexels.com/photos/34373622/pexels-photo-34373622.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563237,1880
"156 Tran Phu, Da Nang",c218972f0308aea9f1a64135c4502b03,249112,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/da-nang-cathedral/loc-19__da-nang-cathedral__p01,Hải Châu,existing:249112,jpg,1253,19,https://images.pexels.com/photos/28411758/pexels-photo-28411758.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06690000,loc-19__da-nang-cathedral__active-missing-thumbnail__p01__pexels-28411758.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-19__da-nang-cathedral__active-missing-thumbnail__p01__pexels-28411758.jpg,19,da-nang-cathedral,108.22310000,Da Nang Cathedral,28411758,1,Jeffry Surianto,https://www.pexels.com/@andromeda99,pexels,https://www.pexels.com/photo/sunset-cityscape-with-han-river-bridge-28411758/,danangtrip/locations/da-nang-cathedral/loc-19__da-nang-cathedral__p01,Da Nang Cathedral Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563240/danangtrip/locations/da-nang-cathedral/loc-19__da-nang-cathedral__p01.jpg,da-nang-cathedral,already_downloaded,,https://images.pexels.com/photos/28411758/pexels-photo-28411758.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563240,1880
"Son Tra Peninsula, Da Nang",212261f15457a525e60496c7cd251112,316167,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/linh-ung-pagoda/loc-20__linh-ung-pagoda__p01,Sơn Trà,existing:316167,jpg,1253,20,https://images.pexels.com/photos/20357998/pexels-photo-20357998.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.10000000,loc-20__linh-ung-pagoda__active-missing-thumbnail__p01__pexels-20357998.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-20__linh-ung-pagoda__active-missing-thumbnail__p01__pexels-20357998.jpg,20,linh-ung-pagoda,108.27780000,Linh Ung Pagoda,20357998,1,Tuan Minh,https://www.pexels.com/@tuanminhdigi,pexels,https://www.pexels.com/photo/people-at-chua-linh-ung-temple-in-vietnam-20357998/,danangtrip/locations/linh-ung-pagoda/loc-20__linh-ung-pagoda__p01,Linh Ung Pagoda Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563243/danangtrip/locations/linh-ung-pagoda/loc-20__linh-ung-pagoda__p01.jpg,linh-ung-pagoda,already_downloaded,,https://images.pexels.com/photos/20357998/pexels-photo-20357998.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563243,1880
"Hoa Hai, Da Nang",26359403c1e55ac600b853031178db92,426819,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/marble-mountains/loc-21__marble-mountains__p01,Ngũ Hành Sơn,existing:426819,jpg,1300,21,https://images.pexels.com/photos/15747058/pexels-photo-15747058.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.00420000,loc-21__marble-mountains__active-missing-thumbnail__p01__pexels-15747058.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-21__marble-mountains__active-missing-thumbnail__p01__pexels-15747058.jpg,21,marble-mountains,108.26390000,Marble Mountains,15747058,1,Vincent Liew,https://www.pexels.com/@vincent-liew-471586480,pexels,https://www.pexels.com/photo/view-from-the-marble-mountains-da-nang-vietnam-15747058/,danangtrip/locations/marble-mountains/loc-21__marble-mountains__p01,Marble Mountains Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563245/danangtrip/locations/marble-mountains/loc-21__marble-mountains__p01.jpg,marble-mountains,already_downloaded,,https://images.pexels.com/photos/15747058/pexels-photo-15747058.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563245,1733
