approve_for_seed,title,slug,category_hint,tags_hint,excerpt,source_name,source_url,review_flags,status
False,The Son Tra Peninsula,the-son-tra-peninsula,diem-den,da-nang,"The Son Tra Peninsula is the final point, marking the end of the northern Truong Son Mountain Range, projecting directly into the East Sea along with Hai Van Mountain. Son Tra’s highest peak reaches 696 meters, with a length of 15 kilometers from east to west, its widest point about 6 kilometers, and the narrowest […]",danangfantasticity-son-tra-peninsula,https://danangfantasticity.com/the-son-tra-peninsula,,pending_review
False,Da Nang Beaches,da-nang-beaches,bien,"da-nang, bien","Da Nang Beaches span approximately 60 kilometers and offers a series of stunning, continuous beaches stretching from Hai Van Pass’s base to Marble Mountain. It is renowned as an ideal Asian destination for relaxation, leisure, and swimming, attracting tourists. Forbes magazine (USA) has ranked Da Nang Beach among the six most attractive beaches globally, alongside […]",danangfantasticity-da-nang-beaches,https://danangfantasticity.com/en/see-and-do/da-nang-beaches-2,,pending_review
False,My Son Sanctuary,my-son-sanctuary,diem-den,"da-nang, van-hoa","My Son Sanctuary (also known as My Son Holy Land) is a complex of ancient Cham temples located in a secluded valley in My Son Village, Thu Bon Commune, Da Nang City. This site preserves more than 70 temple structures built over many centuries (from the 4th to the 13th century), showcasing outstanding historical, cultural, […]",danangfantasticity-my-son-sanctuary,https://danangfantasticity.com/en/my-son-sanctuary,redirected_source_url,pending_review
False,3 perfect days in Danang,3-perfect-days-in-danang-danangfantasticity-da-nang-3-days,lich-trinh,"da-nang, am-thuc, bien, van-hoa","Da Nang is one of those places that’s got it all: breezy beaches, world-class leisure, compelling heritage sites and delicious cuisine. It’s easy to wile away a few days in this coastal paradise, but to see the best of Da Nang’s many assets, we recommend the itinerary below. Take in the beauty of Da Nang, from […]",danangfantasticity-da-nang-3-days,https://danangfantasticity.com/en/discovery/3-perfect-days-in-danang,"deduped_slug, redirected_source_url",pending_review
False,Da Nang’s Mountain Tourism – A Return to Origin in the Truong Son Range,da-nang-s-mountain-tourism-a-return-to-origin-in-the-truong-son-range,cam-nang-da-nang,"da-nang, bien, van-hoa","Have you ever stepped away from the vibrant rhythm of the city to find stillness in the mountains? To the west of Da Nang, a different world unfolds – a place where nature and local life blend seamlessly in the quiet embrace of the Truong Son range. Pack your bag, prepare for the journey, and […]",danangfantasticity-mountain-tourism,https://danangfantasticity.com/en/da-nangs-mountain-tourism,redirected_source_url,pending_review
False,Hai Van Pass,hai-van-pass-danangfantasticity-hai-van-pass-legacy,diem-den,"da-nang, hue","Hai Van Pass is one of the most scenic hillside roads in Vietnam. When braving the steep winding roads of a paved mountain pass, you will have a chance to discover peace,quiet and history along the way…",danangfantasticity-hai-van-pass-legacy,https://danangfantasticity.com/en/natural/hai-van-pass-old-2,deduped_slug,pending_review
False,A traveller's guide to Vietnam's airports,a-traveller-s-guide-to-vietnam-s-airports,di-chuyen,da-nang,"Aim for a smooth arrival in Vietnam with this guide to Vietnam’s airports, covering key tips for international airports in Hanoi, Da Nang and Ho Chi Minh City.",vietnam-travel-airports,https://vietnam.travel/node/887,,pending_review
False,Transport within Vietnam,transport-within-vietnam,di-chuyen,,"See an overview of transport options for travellers within Vietnam, as well as information on domestic flights, train travel, local buses and ferries.",vietnam-travel-transport-within-vietnam,https://vietnam.travel/plan-your-trip/transport-within-vietnam,,pending_review
False,Plan your trip,plan-your-trip,kinh-nghiem,lich-trinh,"Prepare for your trip to Vietnam with practical information from Vietnam's tourism board on visas, transportation, weather, health and safety, and more.",vietnam-travel-plan-your-trip,https://vietnam.travel/plan-your-trip,,pending_review
False,Motorbiking Hoi An to Hue over Hai Van Pass,motorbiking-hoi-an-to-hue-over-hai-van-pass,di-chuyen,"hoi-an, hue, am-thuc, bien","Hoi An to Hue is one of Southeast Asia’s most spectacular coastal journeys, and the best way to see it is by motorbike. The windy climb over world-famous Hai Van Pass is a definite highlight, but there’s much more to see.",vietnam-travel-motorbike-hoi-an-hue,https://vietnam.travel/node/705,,pending_review
False,Must-do Da Nang: An insider list,must-do-da-nang-an-insider-list,kinh-nghiem,"da-nang, am-thuc, bien, van-hoa","From local eats to cool architecture, get the inside scoop on Da Nang's best attractions with this insightful list for first-time visitors.",vietnam-travel-da-nang-insider-list,https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list,,pending_review
False,4 Reasons Why Da Nang is Vietnam’s Most Livable City,4-reasons-why-da-nang-is-vietnam-s-most-livable-city,kinh-nghiem,"da-nang, bien","Da Nang is one of the biggest cities in Vietnam with about one million residents, yet it feels smaller and tamer than Ho Chi Minh City and Hanoi. While it is a big city with everything big cities have to offer, it comes with a friendly and laid-back beach town vibe that keeps the pace slow. The Han River divides the beach from the city center, offering a natural boundary that is bordered by bars, parks, and promenades.",vietnam-travel-da-nang-livable-city,https://vietnam.travel/things-to-do/4-reasons-da-nang-is-vietnam-most-livable-city,,pending_review
False,Post,post,thoi-tiet,,Post description,danangfantasticity-weather-da-nang,https://danangfantasticity.com/en/about-danang/weather-da-nang.html,"missing_facts, low_text_volume",pending_review
