file,vietnamese_unaccented,vietnamese_accented,other_or_english,empty
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\missing-locations-crawl.json,8,19,16,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\missing-locations-review.csv,8,12,6,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\missing-locations-review.json,8,12,6,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch4-clean-normalized.json,6,1,14,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-old-ready-price-recheck-20260607-normalized.json,5,4,117,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-old-ready-price-recheck-20260607-raw.json,5,4,117,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch4-normalized.json,4,3,14,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch5-clean-normalized.json,4,3,14,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\legacy-ready-recheck-20260607-normalized.json,4,,48,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\legacy-ready-recheck-20260607-raw.json,4,,48,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-approval-batch2-weak-address-report.json,4,,88,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-approval-batch2-weak-address-review.csv,4,,326,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch3-clean-normalized.json,3,8,16,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch3-normalized.json,3,8,16,
D:\DATN\DATN_Tài liệu\database-seeders\17_promotions_seed.sql,3,,35,
D:\DATN\DATN_Tài liệu\database-seeders\25_landing_faq_blocks_seed.sql,3,,1,
D:\DATN\DATN_Tài liệu\database-seeders\27_published_location_taxonomy_backfill.sql,3,,9,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-batch2-normalized.json,2,6,13,
D:\DATN\DATN_Tài liệu\database-seeders\16_crawl_publish_approved_locations.sql,2,,5,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-normalized.json,1,1,4,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-approval-batch3-weak-address-services-report.json,1,,59,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-approval-batch3-weak-address-services-review.csv,1,,348,
D:\DATN\DATN_Tài liệu\database-seeders\04_users.sql,1,,99,
D:\DATN\DATN_Tài liệu\database-seeders\19_settings_seed.sql,1,,4,
